[PROCESS INFO] Step 0: reading scenario_index_list.csv
[STATUS INFO] scenario_index=0,scenario_name=,25nb
[STATUS INFO] scenario_index=1,scenario_name=,2040
[PROCESS INFO] Step 1.1: Reading demand_period.csv...
,demand_period= 1, am,time_period=0700_0800
76,0.004,721200,1.24549e+08,4.24077
77,0.003,721200,1.24306e+08,4.21666
78,0.005,721200,1.24002e+08,4.28627
79,0.005,721200,1.23713e+08,4.09362
80,0.003,721200,1.23548e+08,4.03518
81,0.005,721200,1.23226e+08,4.1016
82,0.005,721200,1.22973e+08,3.92948
83,0.003,721200,1.2273e+08,3.88612
84,0.005,721200,1.2256e+08,3.95278
85,0.004,721200,1.22447e+08,3.83459
86,0.004,721200,1.22289e+08,3.73749
87,0.004,721200,1.22035e+08,3.77219
88,0.004,721200,1.21661e+08,3.66641
89,0.004,721200,1.21456e+08,3.62033
90,0.005,721200,1.21318e+08,3.61268
91,0.004,721200,1.21184e+08,3.53139
92,0.005,721200,1.21023e+08,3.5105
93,0.003,721200,1.20673e+08,3.50007
94,0.004,721200,1.20383e+08,3.43217
95,0.004,721200,1.20242e+08,3.4256
96,0.004,721200,1.20151e+08,3.38249
97,0.004,721200,1.20055e+08,3.32313
98,0.003,721200,1.19895e+08,3.29612
99,0.003,721200,1.19635e+08,3.28695
[PROCESS INFO] Step 5: column pool-based flow updating for traffic assignment 
,# of flow updating iterations=,40
column updating
[DATA INFO] column updating: iteration = 0, avg travel time = 7.95003e+07(min), optimization obj = 8.36218e+13, Relative_gap = 49.5986 %
[DATA INFO] column updating: iteration = 1, avg travel time = 2.82294e+07(min), optimization obj = 2.51953e+13, Relative_gap = 48.9462 %
[DATA INFO] column updating: iteration = 2, avg travel time = 1.89962e+07(min), optimization obj = 1.57342e+13, Relative_gap = 48.4738 %
[DATA INFO] column updating: iteration = 3, avg travel time = 1.49576e+07(min), optimization obj = 1.17806e+13, Relative_gap = 48.0896 %
[DATA INFO] column updating: iteration = 4, avg travel time = 1.26637e+07(min), optimization obj = 9.59932e+12, Relative_gap = 47.7644 %
[DATA INFO] column updating: iteration = 5, avg travel time = 1.1147e+07(min), optimization obj = 8.18959e+12, Relative_gap = 47.4766 %
[DATA INFO] column updating: iteration = 6, avg travel time = 1.00547e+07(min), optimization obj = 7.19096e+12, Relative_gap = 47.2156 %
[DATA INFO] column updating: iteration = 7, avg travel time = 9.2435e+06(min), optimization obj = 6.4593e+12, Relative_gap = 46.9812 %
[DATA INFO] column updating: iteration = 8, avg travel time = 8.61935e+06(min), optimization obj = 5.90278e+12, Relative_gap = 46.7707 %
[DATA INFO] column updating: iteration = 9, avg travel time = 8.12126e+06(min), optimization obj = 5.46311e+12, Relative_gap = 46.5788 %
[DATA INFO] column updating: iteration = 10, avg travel time = 7.71496e+06(min), optimization obj = 5.10762e+12, Relative_gap = 46.4034 %
[DATA INFO] column updating: iteration = 11, avg travel time = 7.3773e+06(min), optimization obj = 4.81422e+12, Relative_gap = 46.2422 %
[DATA INFO] column updating: iteration = 12, avg travel time = 7.09545e+06(min), optimization obj = 4.57075e+12, Relative_gap = 46.0955 %
[DATA INFO] column updating: iteration = 13, avg travel time = 6.85286e+06(min), optimization obj = 4.36232e+12, Relative_gap = 45.9591 %
[DATA INFO] column updating: iteration = 14, avg travel time = 6.63985e+06(min), optimization obj = 4.18027e+12, Relative_gap = 45.8308 %
[DATA INFO] column updating: iteration = 15, avg travel time = 6.45453e+06(min), optimization obj = 4.02257e+12, Relative_gap = 45.712 %
[DATA INFO] column updating: iteration = 16, avg travel time = 6.29196e+06(min), optimization obj = 3.88475e+12, Relative_gap = 45.6018 %
[DATA INFO] column updating: iteration = 17, avg travel time = 6.14556e+06(min), optimization obj = 3.76116e+12, Relative_gap = 45.4974 %
[DATA INFO] column updating: iteration = 18, avg travel time = 6.01476e+06(min), optimization obj = 3.65102e+12, Relative_gap = 45.3998 %
[DATA INFO] column updating: iteration = 19, avg travel time = 5.89749e+06(min), optimization obj = 3.55253e+12, Relative_gap = 45.3085 %
[DATA INFO] column updating: iteration = 20, avg travel time = 5.79178e+06(min), optimization obj = 3.46398e+12, Relative_gap = 45.223 %
[DATA INFO] column updating: iteration = 21, avg travel time = 5.69482e+06(min), optimization obj = 3.38298e+12, Relative_gap = 45.1416 %
[DATA INFO] column updating: iteration = 22, avg travel time = 5.60505e+06(min), optimization obj = 3.30818e+12, Relative_gap = 45.0635 %
[DATA INFO] column updating: iteration = 23, avg travel time = 5.52194e+06(min), optimization obj = 3.23909e+12, Relative_gap = 44.9887 %
[DATA INFO] column updating: iteration = 24, avg travel time = 5.44492e+06(min), optimization obj = 3.17519e+12, Relative_gap = 44.9173 %
[DATA INFO] column updating: iteration = 25, avg travel time = 5.37318e+06(min), optimization obj = 3.1158e+12, Relative_gap = 44.8487 %
[DATA INFO] column updating: iteration = 26, avg travel time = 5.3057e+06(min), optimization obj = 3.06008e+12, Relative_gap = 44.7824 %
[DATA INFO] column updating: iteration = 27, avg travel time = 5.24224e+06(min), optimization obj = 3.00778e+12, Relative_gap = 44.7184 %
[DATA INFO] column updating: iteration = 28, avg travel time = 5.18289e+06(min), optimization obj = 2.95896e+12, Relative_gap = 44.6571 %
[DATA INFO] column updating: iteration = 29, avg travel time = 5.12647e+06(min), optimization obj = 2.91264e+12, Relative_gap = 44.5974 %
[DATA INFO] column updating: iteration = 30, avg travel time = 5.07304e+06(min), optimization obj = 2.86886e+12, Relative_gap = 44.5395 %
[DATA INFO] column updating: iteration = 31, avg travel time = 5.0223e+06(min), optimization obj = 2.82736e+12, Relative_gap = 44.4833 %
[DATA INFO] column updating: iteration = 32, avg travel time = 4.97396e+06(min), optimization obj = 2.7879e+12, Relative_gap = 44.4287 %
[DATA INFO] column updating: iteration = 33, avg travel time = 4.92768e+06(min), optimization obj = 2.75018e+12, Relative_gap = 44.3753 %
[DATA INFO] column updating: iteration = 34, avg travel time = 4.8839e+06(min), optimization obj = 2.71456e+12, Relative_gap = 44.3237 %
[DATA INFO] column updating: iteration = 35, avg travel time = 4.84337e+06(min), optimization obj = 2.68162e+12, Relative_gap = 44.2752 %
[DATA INFO] column updating: iteration = 36, avg travel time = 4.80554e+06(min), optimization obj = 2.6509e+12, Relative_gap = 44.2293 %
[DATA INFO] column updating: iteration = 37, avg travel time = 4.76916e+06(min), optimization obj = 2.62141e+12, Relative_gap = 44.1844 %
[DATA INFO] column updating: iteration = 38, avg travel time = 4.7342e+06(min), optimization obj = 2.59311e+12, Relative_gap = 44.1406 %
[DATA INFO] column updating: iteration = 39, avg travel time = 4.70071e+06(min), optimization obj = 2.56603e+12, Relative_gap = 44.098 %
[PROCESS INFO] Step 7: perform sensitivity analysis if dynamic_traffic_management.csv is provided for dtm_type = lane_closure or dms. 
[PROCESS INFO] Step 8: Executing Traffic Simulation. Proceeds only if simulation_output is set to 1 in settings.csv. 
[PROCESS INFO] Step 9: Generating Zonal Hierarchy Mapping (e.g., Zone to Super-Zone and Zone to District Mapping) 
Output Link Performance:
,ref_link_vol_count=,0,MAPE=,0%
,VMT=,4.89782e+06,VKT=,7.8806e+06
,VHT=,3.18266e+11
,network vehicle speed (MPH) =,1.53891e-05,,network vehicle speed (KPH) =,2.47611e-05
,PMT=,4.89782e+06,PKT=,7.8806e+06
,PHT=,3.18266e+11
,network person speed (MPH) =,1.53891e-05,,network person speed (KPH) =,2.47611e-05
,simple avg link volume=,26000.7
,simple avg link speed=,0.000216156
,simple avg link speed ratio=,3.6026e-06
Output subarea Link Performance:
,ref_link_vol_count=,0,MAPE=,0%
,VMT=,4.89782e+06,VKT=,7.8806e+06
,VHT=,3.18266e+11
,network vehicle speed (MPH) =,1.53891e-05,,network vehicle speed (KPH) =,2.47611e-05
,PMT=,4.89782e+06,PKT=,7.8806e+06
,PHT=,3.18266e+11
,network person speed (MPH) =,1.53891e-05,,network person speed (KPH) =,2.47611e-05
,simple avg link volume=,26000.7
,simple avg link speed=,0.000216156
,simple avg link speed ratio=,3.6026e-06
,read dynamic traffic managementscenario
, # of lane closure records in dynamic_traffic_management.csv=,0,
, # of dms records in dynamic_traffic_management.csv=,0,
[DATA INFO] Iteration, CPU running time (sec), # of agents, Avg Travel Time(min),  Avg UE gap %
0,0.01,721200,4.85199e+06,0
1,0.009,721200,0,0
2,0.012,721200,3.09807e+10,1311.93
3,0.004,721200,1.02523e+10,457.413
4,0.008,721200,2.38604e+10,582.041
5,0.006,721200,6.67368e+10,2998.42
6,0.006,721200,2.65252e+10,756.759
7,0.005,721200,1.40051e+10,211.398
8,0.005,721200,1.04591e+10,112.142
9,0.005,721200,8.60069e+09,67.053
10,0.005,721200,7.6505e+09,48.8933
11,0.005,721200,7.2343e+09,44.7293
12,0.005,721200,6.85279e+09,39.8169
13,0.004,721200,6.51526e+09,32.6768
14,0.005,721200,6.23321e+09,28.0706
15,0.005,721200,5.97494e+09,26.1285
16,0.003,721200,5.73779e+09,22.3982
17,0.006,721200,5.68347e+09,21.9088
18,0.004,721200,5.6395e+09,21.9899
19,0.003,721200,5.5659e+09,19.7343
20,0.005,721200,5.50637e+09,19.0832
21,0.004,721200,5.40737e+09,17.1193
22,0.005,721200,5.32877e+09,16.2303
23,0.004,721200,5.24271e+09,15.8233
24,0.003,721200,5.16287e+09,14.6465
25,0.004,721200,5.09694e+09,13.9721
26,0.002,721200,5.02965e+09,12.865
27,0.004,721200,4.97786e+09,11.9221
28,0.003,721200,4.91061e+09,11.4588
29,0.004,721200,4.8412e+09,11.2931
30,0.005,721200,4.77819e+09,10.6834
31,0.003,721200,4.72712e+09,10.2694
32,0.005,721200,4.68434e+09,9.81254
33,0.004,721200,4.64652e+09,9.42917
34,0.001,721200,4.60057e+09,9.11625
35,0.004,721200,4.55611e+09,8.92015
36,0.005,721200,4.52177e+09,8.66086
37,0.002,721200,4.48776e+09,8.38727
38,0.002,721200,4.46163e+09,8.06808
39,0.003,721200,4.43478e+09,7.76175
40,0.004,721200,4.39571e+09,7.59978
41,0.002,721200,4.36114e+09,7.26316
42,0.004,721200,4.3374e+09,7.12788
43,0.004,721200,4.3083e+09,7.05357
44,0.004,721200,4.28466e+09,6.74354
45,0.003,721200,4.26775e+09,6.51491
46,0.001,721200,4.24811e+09,6.53735
47,0.003,721200,4.22117e+09,6.25274
48,0.005,721200,4.20079e+09,6.12612
49,0.003,721200,4.18402e+09,6.10031
50,0.001,721200,4.16271e+09,5.9265
51,0.004,721200,4.14931e+09,5.61629
52,0.002,721200,4.1374e+09,5.58872
53,0.004,721200,4.11478e+09,5.48965
54,0.004,721200,4.09188e+09,5.27312
55,0.002,721200,4.07577e+09,5.27725
56,0.002,721200,4.06443e+09,5.39965
57,0.002,721200,4.0549e+09,5.06872
58,0.001,721200,4.04624e+09,4.891
59,0.003,721200,4.03455e+09,4.91834
60,0.001,721200,4.01779e+09,4.79542
61,0.005,721200,4.00348e+09,4.64205
62,0.004,721200,3.99282e+09,4.68596
63,0.005,721200,3.9808e+09,4.55757
64,0.004,721200,3.97655e+09,4.42986
65,0.003,721200,3.96928e+09,4.45048
66,0.005,721200,3.9531e+09,4.31774
67,0.003,721200,3.94116e+09,4.21428
68,0.004,721200,3.9304e+09,4.26404
69,0.003,721200,3.92067e+09,4.14609
70,0.004,721200,3.9147e+09,4.00769
71,0.002,721200,3.91016e+09,4.00695
72,0.004,721200,3.90351e+09,3.94871
73,0.003,721200,3.89415e+09,3.85972
74,0.003,721200,3.88404e+09,3.90634
75,0.004,721200,3.87792e+09,3.80557
76,0.005,721200,3.8747e+09,3.6902
77,0.004,721200,3.87141e+09,3.6756
78,0.005,721200,3.86165e+09,3.61262
79,0.003,721200,3.84841e+09,3.56634
80,0.002,721200,3.83873e+09,3.56377
81,0.003,721200,3.83235e+09,3.52333
82,0.003,721200,3.8295e+09,3.43469
83,0.004,721200,3.82806e+09,3.39833
84,0.003,721200,3.82418e+09,3.37567
85,0.004,721200,3.81587e+09,3.29425
86,0.003,721200,3.80813e+09,3.25858
87,0.001,721200,3.79979e+09,3.23599
88,0.004,721200,3.79667e+09,3.17678
89,0.004,721200,3.79422e+09,3.11692
90,0.005,721200,3.789e+09,3.09708
91,0.004,721200,3.78257e+09,3.06416
92,0.002,721200,3.77549e+09,3.06017
93,0.003,721200,3.76937e+09,3.01311
94,0.004,721200,3.76654e+09,2.99264
95,0.002,721200,3.76515e+09,2.96623
96,0.001,721200,3.76077e+09,2.87978
97,0.004,721200,3.75649e+09,2.8721
98,0.004,721200,3.74839e+09,2.88398
99,0.001,721200,3.74487e+09,2.76303
[PROCESS INFO] Step 5: column pool-based flow updating for traffic assignment 
,# of flow updating iterations=,40
column updating
[DATA INFO] column updating: iteration = 0, avg travel time = 1.24649e+09(min), optimization obj = 2.66557e+15, Relative_gap = 49.9739 %
[DATA INFO] column updating: iteration = 1, avg travel time = 5.93019e+08(min), optimization obj = 1.14608e+15, Relative_gap = 49.9485 %
[DATA INFO] column updating: iteration = 2, avg travel time = 4.48969e+08(min), optimization obj = 8.33876e+14, Relative_gap = 49.9337 %
[DATA INFO] column updating: iteration = 3, avg travel time = 3.76324e+08(min), optimization obj = 6.8131e+14, Relative_gap = 49.9222 %
[DATA INFO] column updating: iteration = 4, avg travel time = 3.31948e+08(min), optimization obj = 5.90063e+14, Relative_gap = 49.9128 %
[DATA INFO] column updating: iteration = 5, avg travel time = 3.01137e+08(min), optimization obj = 5.2773e+14, Relative_gap = 49.9048 %
[DATA INFO] column updating: iteration = 6, avg travel time = 2.78402e+08(min), optimization obj = 4.82327e+14, Relative_gap = 49.8978 %
[DATA INFO] column updating: iteration = 7, avg travel time = 2.60948e+08(min), optimization obj = 4.47803e+14, Relative_gap = 49.8917 %
[DATA INFO] column updating: iteration = 8, avg travel time = 2.46735e+08(min), optimization obj = 4.19943e+14, Relative_gap = 49.8861 %
[DATA INFO] column updating: iteration = 9, avg travel time = 2.34794e+08(min), optimization obj = 3.96728e+14, Relative_gap = 49.8809 %
[DATA INFO] column updating: iteration = 10, avg travel time = 2.2455e+08(min), optimization obj = 3.76961e+14, Relative_gap = 49.876 %
[DATA INFO] column updating: iteration = 11, avg travel time = 2.15702e+08(min), optimization obj = 3.59994e+14, Relative_gap = 49.8714 %
[DATA INFO] column updating: iteration = 12, avg travel time = 2.08105e+08(min), optimization obj = 3.45503e+14, Relative_gap = 49.8672 %
[DATA INFO] column updating: iteration = 13, avg travel time = 2.01441e+08(min), optimization obj = 3.32863e+14, Relative_gap = 49.8633 %
[DATA INFO] column updating: iteration = 14, avg travel time = 1.95476e+08(min), optimization obj = 3.21601e+14, Relative_gap = 49.8595 %
[DATA INFO] column updating: iteration = 15, avg travel time = 1.90084e+08(min), optimization obj = 3.11463e+14, Relative_gap = 49.856 %
[DATA INFO] column updating: iteration = 16, avg travel time = 1.8519e+08(min), optimization obj = 3.02298e+14, Relative_gap = 49.8525 %
[DATA INFO] column updating: iteration = 17, avg travel time = 1.80756e+08(min), optimization obj = 2.94022e+14, Relative_gap = 49.8493 %
[DATA INFO] column updating: iteration = 18, avg travel time = 1.76695e+08(min), optimization obj = 2.86466e+14, Relative_gap = 49.8462 %
[DATA INFO] column updating: iteration = 19, avg travel time = 1.72955e+08(min), optimization obj = 2.7953e+14, Relative_gap = 49.8432 %
[DATA INFO] column updating: iteration = 20, avg travel time = 1.69492e+08(min), optimization obj = 2.73128e+14, Relative_gap = 49.8403 %
[DATA INFO] column updating: iteration = 21, avg travel time = 1.66276e+08(min), optimization obj = 2.672e+14, Relative_gap = 49.8376 %
[DATA INFO] column updating: iteration = 22, avg travel time = 1.63278e+08(min), optimization obj = 2.6169e+14, Relative_gap = 49.8349 %
[DATA INFO] column updating: iteration = 23, avg travel time = 1.60467e+08(min), optimization obj = 2.56536e+14, Relative_gap = 49.8323 %
[DATA INFO] column updating: iteration = 24, avg travel time = 1.57824e+08(min), optimization obj = 2.51703e+14, Relative_gap = 49.8298 %
[DATA INFO] column updating: iteration = 25, avg travel time = 1.55337e+08(min), optimization obj = 2.47167e+14, Relative_gap = 49.8274 %
[DATA INFO] column updating: iteration = 26, avg travel time = 1.53011e+08(min), optimization obj = 2.42932e+14, Relative_gap = 49.825 %
[DATA INFO] column updating: iteration = 27, avg travel time = 1.5083e+08(min), optimization obj = 2.38973e+14, Relative_gap = 49.8227 %
[DATA INFO] column updating: iteration = 28, avg travel time = 1.48768e+08(min), optimization obj = 2.35237e+14, Relative_gap = 49.8205 %
[DATA INFO] column updating: iteration = 29, avg travel time = 1.4683e+08(min), optimization obj = 2.31731e+14, Relative_gap = 49.8184 %
[DATA INFO] column updating: iteration = 30, avg travel time = 1.44995e+08(min), optimization obj = 2.28415e+14, Relative_gap = 49.8164 %
[DATA INFO] column updating: iteration = 31, avg travel time = 1.43243e+08(min), optimization obj = 2.25255e+14, Relative_gap = 49.8143 %
[DATA INFO] column updating: iteration = 32, avg travel time = 1.41568e+08(min), optimization obj = 2.2224e+14, Relative_gap = 49.8124 %
[DATA INFO] column updating: iteration = 33, avg travel time = 1.3997e+08(min), optimization obj = 2.1937e+14, Relative_gap = 49.8104 %
[DATA INFO] column updating: iteration = 34, avg travel time = 1.3846e+08(min), optimization obj = 2.1666e+14, Relative_gap = 49.8086 %
[DATA INFO] column updating: iteration = 35, avg travel time = 1.37016e+08(min), optimization obj = 2.14074e+14, Relative_gap = 49.8068 %
[DATA INFO] column updating: iteration = 36, avg travel time = 1.35628e+08(min), optimization obj = 2.11591e+14, Relative_gap = 49.805 %
[DATA INFO] column updating: iteration = 37, avg travel time = 1.34292e+08(min), optimization obj = 2.09205e+14, Relative_gap = 49.8033 %
[DATA INFO] column updating: iteration = 38, avg travel time = 1.33005e+08(min), optimization obj = 2.06911e+14, Relative_gap = 49.8016 %
[DATA INFO] column updating: iteration = 39, avg travel time = 1.31767e+08(min), optimization obj = 2.04707e+14, Relative_gap = 49.7999 %
[PROCESS INFO] Step 7: perform sensitivity analysis if dynamic_traffic_management.csv is provided for dtm_type = lane_closure or dms. 
[PROCESS INFO] Step 8: Executing Traffic Simulation. Proceeds only if simulation_output is set to 1 in settings.csv. 
[PROCESS INFO] Step 9: Generating Zonal Hierarchy Mapping (e.g., Zone to Super-Zone and Zone to District Mapping) 
Output Link Performance:
,ref_link_vol_count=,0,MAPE=,0%
,VMT=,1.07303e+07,VKT=,1.72651e+07
,VHT=,1.1763e+13
,network vehicle speed (MPH) =,9.1221e-07,,network vehicle speed (KPH) =,1.46775e-06
,PMT=,1.07303e+07,PKT=,1.72651e+07
,PHT=,1.1763e+13
,network person speed (MPH) =,9.1221e-07,,network person speed (KPH) =,1.46775e-06
,simple avg link volume=,56925.2
,simple avg link speed=,6.58837e-06
,simple avg link speed ratio=,1.09806e-07
Output subarea Link Performance:
,ref_link_vol_count=,0,MAPE=,0%
,VMT=,1.07303e+07,VKT=,1.72651e+07
,VHT=,1.1763e+13
,network vehicle speed (MPH) =,9.1221e-07,,network vehicle speed (KPH) =,1.46775e-06
,PMT=,1.07303e+07,PKT=,1.72651e+07
,PHT=,1.1763e+13
,network person speed (MPH) =,9.1221e-07,,network person speed (KPH) =,1.46775e-06
,simple avg link volume=,56925.2
,simple avg link speed=,6.58837e-06
,simple avg link speed ratio=,1.09806e-07
     Check OD connectivity and accessibility in od_performance_summary.csv
, # of connected OD pairs =, 0
, # of OD/mode_type/demand_type columns without paths =, 1584
Output Link Performance Summary
Output 2 Way Link Performance Summary
