first_column,path_no,o_zone_id,d_zone_id,od_pair,o_sindex,d_sindex,within_OD_path_no,path_id,activity_zone_sequence,activity_mode_type_sequence,information_type,mode_type,demand_period,volume,OD_relative_gap,travel_time,path_gap,preload_volume,volume_before_odme,volume_after_odme,volume_diff_odme,rt_new_path_flag,volume_before_sa,volume_after_sa,volume_diff_sa,simu_volume,subarea_flag,OD_impact_flag,at_OD_impact_flag,path_impact_flag,toll,#_of_nodes,#_of_sensor_links,#_of_SA_links,travel_time,VDF_travel_time,VDF_travel_time_without_access_link,distance_km,distance_mile,node_sequence,link_sequence, geometry,link_type_name_sequence,link_code_sequence,link_link_distance_VDF_sequence,link_FFTT_sequence,
,357,7,17,6,16,7->17,2,3,,,0,auto,am,90.7424,0.1773,0.0268,0.0105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,5,0,0,0.0,0.0268,0.0268,0.0120,0.0075,7;18;20;19;17;,18;56;61;58;,"LINESTRING (-96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.711316 43.529591, -96.711382 43.541280)",,,0.002;0.004;0.004;0.002;,0.002;0.004;0.004;0.002;,
,358,7,19,6,18,7->19,1,2,,,0,auto,am,272.1905,0.1258,0.0187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.0,0.0187,0.0187,0.0100,0.0062,7;18;20;19;,18;56;61;,"LINESTRING (-96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.711316 43.529591)",,,0.002;0.004;0.004;,0.002;0.004;0.004;,
,359,7,19,6,18,7->19,0,1,,,0,auto,am,98.2353,0.1258,0.0249,0.0059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,5,0,0,0.0,0.0249,0.0249,0.0090,0.0056,7;18;16;17;19;,18;55;49;53;,"LINESTRING (-96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591)",,,0.002;0.003;0.002;0.002;,0.002;0.003;0.002;0.002;,
,360,7,19,6,18,7->19,3,4,,,0,auto,am,15.7616,0.1258,0.0317,0.0130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.0,0.0317,0.0317,0.0170,0.0106,7;18;20;22;15;19;,18;56;63;67;45;,"LINESTRING (-96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.731241 43.514858, -96.731504 43.529401, -96.711316 43.529591)",,,0.002;0.004;0.005;0.003;0.003;,0.002;0.004;0.005;0.003;0.003;,
,361,7,19,6,18,7->19,2,3,,,0,auto,am,13.8126,0.1258,0.0375,0.0189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0375,0.0375,0.0200,0.0124,7;18;20;21;22;15;19;,18;56;62;65;67;45;,"LINESTRING (-96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.730979 43.510485, -96.731241 43.514858, -96.731504 43.529401, -96.711316 43.529591)",,,0.002;0.004;0.006;0.002;0.003;0.003;,0.002;0.004;0.006;0.002;0.003;0.003;,
,362,7,20,6,19,7->20,0,1,,,0,auto,am,500.0000,0.0000,0.0064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,3,0,0,0.0,0.0064,0.0064,0.0060,0.0037,7;18;20;,18;56;,"LINESTRING (-96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333)",,,0.002;0.004;,0.002;0.004;,
,363,7,21,6,20,7->21,0,1,,,0,auto,am,194.8883,0.0562,0.0166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.0,0.0166,0.0166,0.0120,0.0075,7;18;20;21;,18;56;62;,"LINESTRING (-96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.730979 43.510485)",,,0.002;0.004;0.006;,0.002;0.004;0.006;,
,364,7,21,6,20,7->21,1,2,,,0,auto,am,5.1117,0.0562,0.0456,0.0292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,8,0,0,0.0,0.0456,0.0456,0.0170,0.0106,7;18;16;17;19;15;22;21;,18;55;49;53;57;46;69;,"LINESTRING (-96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485)",,,0.002;0.003;0.002;0.002;0.003;0.003;0.002;,0.002;0.003;0.002;0.002;0.003;0.003;0.002;,
,365,7,22,6,21,7->22,0,1,,,0,auto,am,411.5583,0.1224,0.0174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.0,0.0174,0.0174,0.0110,0.0068,7;18;20;22;,18;56;63;,"LINESTRING (-96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.731241 43.514858)",,,0.002;0.004;0.005;,0.002;0.004;0.005;,
,366,7,22,6,21,7->22,1,2,,,0,auto,am,47.5638,0.1224,0.0232,0.0059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,5,0,0,0.0,0.0232,0.0232,0.0140,0.0087,7;18;20;21;22;,18;56;62;65;,"LINESTRING (-96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.730979 43.510485, -96.731241 43.514858)",,,0.002;0.004;0.006;0.002;,0.002;0.004;0.006;0.002;,
,367,7,22,6,21,7->22,2,3,,,0,auto,am,40.8779,0.1224,0.0393,0.0220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0393,0.0393,0.0150,0.0093,7;18;16;17;19;15;22;,18;55;49;53;57;46;,"LINESTRING (-96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591, -96.731504 43.529401, -96.731241 43.514858)",,,0.002;0.003;0.002;0.002;0.003;0.003;,0.002;0.003;0.002;0.002;0.003;0.003;,
,368,7,23,6,22,7->23,0,1,,,0,auto,am,137.5559,0.0687,0.0303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,5,0,0,0.0,0.0303,0.0303,0.0150,0.0093,7;18;20;22;23;,18;56;63;70;,"LINESTRING (-96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.731241 43.514858, -96.750904 43.514858)",,,0.002;0.004;0.005;0.004;,0.002;0.004;0.005;0.004;,
,369,7,23,6,22,7->23,1,2,,,0,auto,am,49.6467,0.0687,0.0329,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.0,0.0329,0.0329,0.0170,0.0106,7;18;20;21;24;23;,18;56;62;66;76;,"LINESTRING (-96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.730979 43.510485, -96.749200 43.503164, -96.750904 43.514858)",,,0.002;0.004;0.006;0.003;0.002;,0.002;0.004;0.006;0.003;0.002;,
,370,7,23,6,22,7->23,2,3,,,0,auto,am,6.4462,0.0687,0.0525,0.0219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,8,0,0,0.1,0.0525,0.0525,0.0210,0.0131,7;18;16;17;19;15;14;23;,18;55;49;53;57;44;42;,"LINESTRING (-96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591, -96.731504 43.529401, -96.751035 43.529306, -96.750904 43.514858)",,,0.002;0.003;0.002;0.002;0.003;0.005;0.004;,0.002;0.003;0.002;0.002;0.003;0.005;0.004;,
,371,7,23,6,22,7->23,3,4,,,0,auto,am,6.3512,0.0687,0.0522,0.0220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,8,0,0,0.1,0.0522,0.0522,0.0190,0.0118,7;18;16;17;19;15;22;23;,18;55;49;53;57;46;70;,"LINESTRING (-96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591, -96.731504 43.529401, -96.731241 43.514858, -96.750904 43.514858)",,,0.002;0.003;0.002;0.002;0.003;0.003;0.004;,0.002;0.003;0.002;0.002;0.003;0.003;0.004;,
,372,7,24,6,23,7->24,0,1,,,0,auto,am,83.4330,0.0771,0.0276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,5,0,0,0.0,0.0276,0.0276,0.0150,0.0093,7;18;20;21;24;,18;56;62;66;,"LINESTRING (-96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.730979 43.510485, -96.749200 43.503164)",,,0.002;0.004;0.006;0.003;,0.002;0.004;0.006;0.003;,
,373,7,24,6,23,7->24,1,2,,,0,auto,am,14.1957,0.0771,0.0360,0.0090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.0,0.0360,0.0360,0.0170,0.0106,7;18;20;22;23;24;,18;56;63;70;73;,"LINESTRING (-96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.731241 43.514858, -96.750904 43.514858, -96.749200 43.503164)",,,0.002;0.004;0.005;0.004;0.002;,0.002;0.004;0.005;0.004;0.002;,
,374,7,24,6,23,7->24,2,3,,,0,auto,am,2.3713,0.0771,0.0579,0.0310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,9,0,0,0.1,0.0579,0.0579,0.0210,0.0131,7;18;16;17;19;15;22;23;24;,18;55;49;53;57;46;70;73;,"LINESTRING (-96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591, -96.731504 43.529401, -96.731241 43.514858, -96.750904 43.514858, -96.749200 43.503164)"
,375,8,1,7,0,8->1,0,1,,,0,auto,am,724.9765,0.0250,0.0308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.0,0.0308,0.0308,0.0130,0.0081,8;6;2;1;,19;14;3;,"LINESTRING (-96.711382 43.562324, -96.711644 43.587586, -96.711251 43.605813, -96.770420 43.612828)",,,0.002;0.005;0.006;,0.002;0.005;0.006;,
,376,8,1,7,0,8->1,1,2,,,0,auto,am,75.0236,0.0250,0.0400,0.0085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.0,0.0400,0.0400,0.0250,0.0155,8;9;5;4;3;1;,21;23;11;8;5;,"LINESTRING (-96.711382 43.562324, -96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.770420 43.612828)",,,0.010;0.005;0.002;0.004;0.004;,0.010;0.005;0.002;0.004;0.004;,
,377,8,2,7,1,8->2,0,1,,,0,auto,am,366.4907,0.0668,0.0248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,3,0,0,0.0,0.0248,0.0248,0.0070,0.0044,8;6;2;,19;14;,"LINESTRING (-96.711382 43.562324, -96.711644 43.587586, -96.711251 43.605813)",,,0.002;0.005;,0.002;0.005;,
,378,8,2,7,1,8->2,1,2,,,0,auto,am,33.5093,0.0668,0.0460,0.0205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0460,0.0460,0.0310,0.0193,8;9;5;4;3;1;2;,21;23;11;8;5;1;,"LINESTRING (-96.711382 43.562324, -96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813)",,,0.010;0.005;0.002;0.004;0.004;0.006;,0.010;0.005;0.002;0.004;0.004;0.006;,
,379,8,3,7,2,8->3,2,3,,,0,auto,am,79.8198,0.0159,0.0348,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,5,0,0,0.0,0.0348,0.0348,0.0170,0.0106,8;6;2;1;3;,19;14;3;2;,"LINESTRING (-96.711382 43.562324, -96.711644 43.587586, -96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962)",,,0.002;0.005;0.006;0.004;,0.002;0.005;0.006;0.004;,
,380,8,3,7,2,8->3,0,1,,,0,auto,am,80.0945,0.0159,0.0341,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,5,0,0,0.0,0.0341,0.0341,0.0120,0.0075,8;6;5;4;3;,19;15;11;8;,"LINESTRING (-96.711382 43.562324, -96.711644 43.587586, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962)",,,0.002;0.004;0.002;0.004;,0.002;0.004;0.002;0.004;,
,381,8,3,7,2,8->3,1,2,,,0,auto,am,40.0857,0.0159,0.0360,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,5,0,0,0.0,0.0360,0.0360,0.0210,0.0131,8;9;5;4;3;,21;23;11;8;,"LINESTRING (-96.711382 43.562324, -96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962)",,,0.010;0.005;0.002;0.004;,0.010;0.005;0.002;0.004;,
,382,8,4,7,3,8->4,0,1,,,0,auto,am,560.1458,0.0081,0.0296,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.0,0.0296,0.0296,0.0080,0.0050,8;6;5;4;,19;15;11;,"LINESTRING (-96.711382 43.562324, -96.711644 43.587586, -96.731569 43.564034, -96.747168 43.563654)",,,0.002;0.004;0.002;,0.002;0.004;0.002;,
,383,8,4,7,3,8->4,1,2,,,0,auto,am,139.8542,0.0081,0.0315,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.0,0.0315,0.0315,0.0170,0.0106,8;9;5;4;,21;23;11;,"LINESTRING (-96.711382 43.562324, -96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654)",,,0.010;0.005;0.002;,0.010;0.005;0.002;,
,384,8,5,7,4,8->5,0,1,,,0,auto,am,400.1042,0.0088,0.0271,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,3,0,0,0.0,0.0271,0.0271,0.0060,0.0037,8;6;5;,19;15;,"LINESTRING (-96.711382 43.562324, -96.711644 43.587586, -96.731569 43.564034)",,,0.002;0.004;,0.002;0.004;,
,385,8,5,7,4,8->5,1,2,,,0,auto,am,99.8958,0.0088,0.0290,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,3,0,0,0.0,0.0290,0.0290,0.0150,0.0093,8;9;5;,21;23;,"LINESTRING (-96.711382 43.562324, -96.731241 43.548596, -96.731569 43.564034)",,,0.010;0.005;,0.010;0.005;,
,386,8,6,7,5,8->6,1,2,,,0,auto,am,66.8186,0.0887,0.0380,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.0,0.0380,0.0380,0.0190,0.0118,8;9;5;6;,21;23;12;,"LINESTRING (-96.711382 43.562324, -96.731241 43.548596, -96.731569 43.564034, -96.711644 43.587586)",,,0.010;0.005;0.004;,0.010;0.005;0.004;,
,387,8,7,7,6,8->7,1,2,,,0,auto,am,40.9890,0.0550,0.0172,0.0102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.0,0.0172,0.0172,0.0100,0.0062,8;16;18;7;,22;50;54;,"LINESTRING (-96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.693423 43.563844)",,,0.005;0.003;0.002;,0.005;0.003;0.002;,
,388,8,9,7,8,8->9,1,2,,,0,auto,am,64.6627,0.1402,0.0387,0.0219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.0,0.0387,0.0387,0.0110,0.0068,8;6;5;9;,19;15;13;,"LINESTRING (-96.711382 43.562324, -96.711644 43.587586, -96.731569 43.564034, -96.731241 43.548596)",,,0.002;0.004;0.005;,0.002;0.004;0.005;,
,389,8,9,7,8,8->9,2,3,,,0,auto,am,21.5438,0.1402,0.0457,0.0280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.0,0.0457,0.0457,0.0120,0.0075,8;16;10;9;,22;48;26;,"LINESTRING (-96.711382 43.562324, -96.711382 43.546744, -96.731438 43.545271, -96.731241 43.548596)",,,0.005;0.004;0.003;,0.005;0.004;0.003;,
,390,8,10,7,9,8->10,1,2,,,0,auto,am,1117.0834,0.1699,0.0248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,3,0,0,0.0,0.0248,0.0248,0.0130,0.0081,8;9;10;,21;25;,"LINESTRING (-96.711382 43.562324, -96.731241 43.548596, -96.731438 43.545271)",,,0.010;0.003;,0.010;0.003;,
,391,8,10,7,9,8->10,0,1,,,0,auto,am,462.2743,0.1699,0.0386,0.0137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,3,0,0,0.0,0.0386,0.0386,0.0090,0.0056,8;16;10;,22;48;,"LINESTRING (-96.711382 43.562324, -96.711382 43.546744, -96.731438 43.545271)",,,0.005;0.004;,0.005;0.004;,
,392,8,10,7,9,8->10,2,3,,,0,auto,am,20.6424,0.1699,0.0651,0.0422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,8,0,0,0.1,0.0651,0.0651,0.0320,0.0199,8;6;2;1;3;12;11;10;,19;14;3;2;7;36;32;,"LINESTRING (-96.711382 43.562324, -96.711644 43.587586, -96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271)",,,0.002;0.005;0.006;0.004;0.004;0.006;0.005;,0.002;0.005;0.006;0.004;0.004;0.006;0.005;,
,393,8,11,7,10,8->11,5,6,,,0,auto,am,238.6179,0.0956,0.0390,0.0015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,5,0,0,0.0,0.0390,0.0390,0.0140,0.0087,8;6;5;4;11;,19;15;11;10;,"LINESTRING (-96.711382 43.562324, -96.711644 43.587586, -96.731569 43.564034, -96.747168 43.563654, -96.746841 43.544131)",,,0.002;0.004;0.002;0.006;,0.002;0.004;0.002;0.006;,
,394,8,11,7,10,8->11,1,2,,,0,auto,am,118.4513,0.0956,0.0409,0.0027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,5,0,0,0.0,0.0409,0.0409,0.0230,0.0143,8;9;5;4;11;,21;23;11;10;,"LINESTRING (-96.711382 43.562324, -96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.746841 43.544131)",,,0.010;0.005;0.002;0.006;,0.010;0.005;0.002;0.006;,
,395,8,11,7,10,8->11,2,3,,,0,auto,am,274.2427,0.0956,0.0379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.0,0.0379,0.0379,0.0180,0.0112,8;9;10;11;,21;25;27;,"LINESTRING (-96.711382 43.562324, -96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131)",,,0.010;0.003;0.005;,0.010;0.003;0.005;,
,396,8,11,7,10,8->11,3,4,,,0,auto,am,28.4982,0.0956,0.0530,0.0160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.1,0.0530,0.0530,0.0270,0.0168,8;6;2;1;3;12;11;,19;14;3;2;7;36;,"LINESTRING (-96.711382 43.562324, -96.711644 43.587586, -96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131)",,,0.002;0.005;0.006;0.004;0.004;0.006;,0.002;0.005;0.006;0.004;0.004;0.006;,
,397,8,11,7,10,8->11,4,5,,,0,auto,am,29.0527,0.0956,0.0522,0.0152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.1,0.0522,0.0522,0.0220,0.0137,8;6;5;4;3;12;11;,19;15;11;8;7;36;,"LINESTRING (-96.711382 43.562324, -96.711644 43.587586, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131)",,,0.002;0.004;0.002;0.004;0.004;0.006;,0.002;0.004;0.002;0.004;0.004;0.006;,
,398,8,11,7,10,8->11,0,1,,,0,auto,am,111.1371,0.0956,0.0517,0.0137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.1,0.0517,0.0517,0.0140,0.0087,8;16;10;11;,22;48;27;,"LINESTRING (-96.711382 43.562324, -96.711382 43.546744, -96.731438 43.545271, -96.746841 43.544131)",,,0.005;0.004;0.005;,0.005;0.004;0.005;,
,399,8,12,7,11,8->12,2,3,,,0,auto,am,239.4593,0.0142,0.0389,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.0,0.0389,0.0389,0.0210,0.0131,8;6;2;1;3;12;,19;14;3;2;7;,"LINESTRING (-96.711382 43.562324, -96.711644 43.587586, -96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941)",,,0.002;0.005;0.006;0.004;0.004;,0.002;0.005;0.006;0.004;0.004;,
,400,8,12,7,11,8->12,0,1,,,0,auto,am,240.2835,0.0142,0.0382,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.0,0.0382,0.0382,0.0160,0.0099,8;6;5;4;3;12;,19;15;11;8;7;,"LINESTRING (-96.711382 43.562324, -96.711644 43.587586, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.780137 43.543941)",,,0.002;0.004;0.002;0.004;0.004;,0.002;0.004;0.002;0.004;0.004;,
,401,8,12,7,11,8->12,1,2,,,0,auto,am,120.2572,0.0142,0.0401,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.0,0.0401,0.0401,0.0250,0.0155,8;9;5;4;3;12;,21;23;11;8;7;,"LINESTRING (-96.711382 43.562324, -96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.780137 43.543941)",,,0.010;0.005;0.002;0.004;0.004;,0.010;0.005;0.002;0.004;0.004;,
,402,8,13,7,12,8->13,2,3,,,0,auto,am,239.4593,0.0132,0.0420,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0420,0.0420,0.0240,0.0149,8;6;2;1;3;12;13;,19;14;3;2;7;37;,"LINESTRING (-96.711382 43.562324, -96.711644 43.587586, -96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707)",,,0.002;0.005;0.006;0.004;0.004;0.003;,0.002;0.005;0.006;0.004;0.004;0.003;,
,403,8,13,7,12,8->13,0,1,,,0,auto,am,240.2835,0.0132,0.0412,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0412,0.0412,0.0190,0.0118,8;6;5;4;3;12;13;,19;15;11;8;7;37;,"LINESTRING (-96.711382 43.562324, -96.711644 43.587586, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707)",,,0.002;0.004;0.002;0.004;0.004;0.003;,0.002;0.004;0.002;0.004;0.004;0.003;,
,404,8,13,7,12,8->13,1,2,,,0,auto,am,120.2572,0.0132,0.0431,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0431,0.0431,0.0280,0.0174,8;9;5;4;3;12;13;,21;23;11;8;7;37;,"LINESTRING (-96.711382 43.562324, -96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707)",,,0.010;0.005;0.002;0.004;0.004;0.003;,0.010;0.005;0.002;0.004;0.004;0.003;,
,405,8,14,7,13,8->14,6,7,,,0,auto,am,16.2965,0.0778,0.0532,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.1,0.0532,0.0532,0.0180,0.0112,8;6;5;4;11;14;,19;15;11;10;34;,"LINESTRING (-96.711382 43.562324, -96.711644 43.587586, -96.731569 43.564034, -96.747168 43.563654, -96.746841 43.544131, -96.751035 43.529306)",,,0.002;0.004;0.002;0.006;0.004;,0.002;0.004;0.002;0.006;0.004;,
,406,8,14,7,13,8->14,3,4,,,0,auto,am,11.2367,0.0778,0.0672,0.0247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,8,0,0,0.1,0.0672,0.0672,0.0310,0.0193,8;6;2;1;3;12;11;14;,19;14;3;2;7;36;34;,"LINESTRING (-96.711382 43.562324, -96.711644 43.587586, -96.711251 43.605813, -96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306)",,,0.002;0.005;0.006;0.004;0.004;0.006;0.004;,0.002;0.005;0.006;0.004;0.004;0.006;0.004;,
,407,8,14,7,13,8->14,0,1,,,0,auto,am,78.3508,0.0778,0.0488,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.0,0.0488,0.0488,0.0170,0.0106,8;16;17;19;15;14;,22;49;53;57;44;,"LINESTRING (-96.711382 43.562324, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591, -96.731504 43.529401, -96.751035 43.529306)",,,0.005;0.002;0.002;0.003;0.005;,0.005;0.002;0.002;0.003;0.005;,
,408,8,14,7,13,8->14,4,5,,,0,auto,am,159.5658,0.0778,0.0439,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0439,0.0439,0.0210,0.0131,8;7;18;20;19;15;14;,20;18;56;61;57;44;,"LINESTRING (-96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.711316 43.529591, -96.731504 43.529401, -96.751035 43.529306)",,,0.003;0.002;0.004;0.004;0.003;0.005;,0.003;0.002;0.004;0.004;0.003;0.005;,
