od_no,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,agent_type,demand_period,volume,connectivity_flag,path_FF_travel_time_min,distance_km,distance_mile,OD0,OD1,OD2,OD3,OD4,
1644,11,8,10,7,1,8,p,AM,139.10,1,8.9535,14.4062,8.9535,0.000000,0.000000,0.000000,0.000000,0.000000,
1645,11,9,10,8,1,8,p,AM,173.90,1,7.6583,12.3222,7.6583,0.000000,0.000000,0.000000,0.000000,0.000000,
1646,11,10,10,9,1,1,p,AM,690.57,1,4.5949,7.3932,4.5949,0.000000,0.000000,0.000000,0.000000,0.000000,
1647,11,12,10,11,1,2,p,AM,473.95,1,3.5916,5.7789,3.5916,0.000000,0.000000,0.000000,0.000000,0.000000,
1648,11,13,10,12,1,2,p,AM,618.40,1,4.4218,7.1147,4.4218,0.000000,0.000000,0.000000,0.000000,0.000000,
1649,11,14,10,13,1,2,p,AM,397.07,1,7.2285,11.6307,7.2285,0.000000,0.000000,0.000000,0.000000,0.000000,
1650,11,15,10,14,1,2,p,AM,369.40,1,5.9128,9.5137,5.9128,0.000000,0.000000,0.000000,0.000000,0.000000,
1651,11,16,10,15,1,3,p,AM,603.90,1,7.0561,11.3533,7.0561,0.000000,0.000000,0.000000,0.000000,0.000000,
1652,11,17,10,16,1,3,p,AM,556.27,1,9.4320,15.1761,9.4320,0.000000,0.000000,0.000000,0.000000,0.000000,
1653,11,18,10,17,1,3,p,AM,304.67,1,9.4595,15.2204,9.4596,0.000000,0.000000,0.000000,0.000000,0.000000,
1654,11,19,10,18,1,3,p,AM,59.71,1,10.9437,17.6085,10.9437,0.000000,0.000000,0.000000,0.000000,0.000000,
1655,11,20,10,19,1,3,p,AM,214.83,1,6.5603,10.5555,6.5603,0.000000,0.000000,0.000000,0.000000,0.000000,
1656,11,21,10,20,1,3,p,AM,80.63,1,8.5252,13.7170,8.5252,0.000000,0.000000,0.000000,0.000000,0.000000,
1657,11,22,10,21,1,3,p,AM,39.89,1,12.4797,20.0798,12.4797,0.000000,0.000000,0.000000,0.000000,0.000000,
1658,11,23,10,22,1,3,p,AM,130.55,1,15.3504,24.6987,15.3504,0.000000,0.000000,0.000000,0.000000,0.000000,
1659,11,24,10,23,1,9,p,AM,99.02,1,12.7097,20.4499,12.7097,0.000000,0.000000,0.000000,0.000000,0.000000,
1660,11,25,10,24,1,9,p,AM,83.90,1,9.2066,14.8134,9.2066,0.000000,0.000000,0.000000,0.000000,0.000000,
1661,11,26,10,25,1,9,p,AM,88.26,1,12.2954,19.7832,12.2954,0.000000,0.000000,0.000000,0.000000,0.000000,
1662,11,27,10,26,1,4,p,AM,24.62,1,14.9297,24.0219,14.9297,0.000000,0.000000,0.000000,0.000000,0.000000,
1663,11,28,10,27,1,4,p,AM,51.78,1,18.5145,29.7899,18.5145,0.000000,0.000000,0.000000,0.000000,0.000000,
1664,11,29,10,28,1,4,p,AM,37.80,1,18.4673,29.7138,18.4673,0.000000,0.000000,0.000000,0.000000,0.000000,
1665,11,30,10,29,1,11,p,AM,15.86,1,14.6751,23.6123,14.6751,0.000000,0.000000,0.000000,0.000000,0.000000,
1666,11,31,10,30,1,4,p,AM,14.76,1,17.8678,28.7493,17.8678,0.000000,0.000000,0.000000,0.000000,0.000000,
1667,11,32,10,31,1,11,p,AM,9.89,1,18.1177,29.1514,18.1177,0.000000,0.000000,0.000000,0.000000,0.000000,
1668,11,33,10,32,1,11,p,AM,2.97,1,21.6367,34.8135,21.6367,0.000000,0.000000,0.000000,0.000000,0.000000,
1669,11,34,10,33,1,4,p,AM,5.06,1,21.1683,34.0598,21.1683,0.000000,0.000000,0.000000,0.000000,0.000000,
1670,11,35,10,34,1,4,p,AM,8.12,1,21.0910,33.9354,21.0910,0.000000,0.000000,0.000000,0.000000,0.000000,
1671,11,36,10,35,1,4,p,AM,9.26,1,25.0555,40.3142,25.0555,0.000000,0.000000,0.000000,0.000000,0.000000,
1672,11,37,10,36,1,7,p,AM,71.02,1,13.9648,22.4694,13.9648,0.000000,0.000000,0.000000,0.000000,0.000000,
1673,11,39,10,37,1,5,p,AM,1.86,1,27.9775,45.0158,27.9775,0.000000,0.000000,0.000000,0.000000,0.000000,
1674,11,41,10,38,1,5,p,AM,11.16,1,25.0495,40.3047,25.0495,0.000000,0.000000,0.000000,0.000000,0.000000,
1675,11,42,10,39,1,5,p,AM,0.37,1,25.7644,41.4549,25.7644,0.000000,0.000000,0.000000,0.000000,0.000000,
1676,11,43,10,40,1,18,p,AM,4.77,1,21.9176,35.2654,21.9176,0.000000,0.000000,0.000000,0.000000,0.000000,
1677,11,44,10,41,1,5,p,AM,3.87,1,25.0292,40.2719,25.0292,0.000000,0.000000,0.000000,0.000000,0.000000,
1678,11,45,10,42,1,18,p,AM,6.37,1,19.0506,30.6524,19.0506,0.000000,0.000000,0.000000,0.000000,0.000000,
1679,11,46,10,43,1,5,p,AM,4.52,1,21.9786,35.3635,21.9786,0.000000,0.000000,0.000000,0.000000,0.000000,
1680,11,47,10,44,1,18,p,AM,9.36,1,20.2028,32.5063,20.2028,0.000000,0.000000,0.000000,0.000000,0.000000,
1681,11,48,10,45,1,18,p,AM,7.34,1,19.9250,32.0594,19.9250,0.000000,0.000000,0.000000,0.000000,0.000000,
1682,11,49,10,46,1,6,p,AM,10.28,1,17.2742,27.7941,17.2742,0.000000,0.000000,0.000000,0.000000,0.000000,
1683,11,50,10,47,1,18,p,AM,8.28,1,16.9970,27.3482,16.9970,0.000000,0.000000,0.000000,0.000000,0.000000,
1684,11,51,10,48,1,6,p,AM,3.55,1,19.5324,31.4276,19.5324,0.000000,0.000000,0.000000,0.000000,0.000000,
1685,11,52,10,49,1,6,p,AM,6.79,1,19.2081,30.9058,19.2081,0.000000,0.000000,0.000000,0.000000,0.000000,
1686,11,53,10,50,1,6,p,AM,16.48,1,16.6338,26.7637,16.6338,0.000000,0.000000,0.000000,0.000000,0.000000,
1687,11,56,10,51,1,5,p,AM,1.25,1,30.5176,49.1027,30.5175,0.000000,0.000000,0.000000,0.000000,0.000000,
1688,11,58,10,52,1,5,p,AM,5.02,1,22.1573,35.6511,22.1573,0.000000,0.000000,0.000000,0.000000,0.000000,
1689,11,59,10,53,1,5,p,AM,0.85,1,25.0269,40.2683,25.0269,0.000000,0.000000,0.000000,0.000000,0.000000,
1690,11,60,10,54,1,5,p,AM,2.11,1,24.6583,39.6752,24.6583,0.000000,0.000000,0.000000,0.000000,0.000000,
1691,11,61,10,55,1,5,p,AM,2.88,1,27.5279,44.2924,27.5279,0.000000,0.000000,0.000000,0.000000,0.000000,
1692,11,62,10,56,1,5,p,AM,6.47,1,19.2167,30.9196,19.2167,0.000000,0.000000,0.000000,0.000000,0.000000,
1693,11,63,10,57,1,5,p,AM,5.07,1,21.8221,35.1117,21.8220,0.000000,0.000000,0.000000,0.000000,0.000000,
1694,11,64,10,58,1,5,p,AM,36.92,1,16.8765,27.1543,16.8765,0.000000,0.000000,0.000000,0.000000,0.000000,
1695,11,65,10,59,1,5,p,AM,3.41,1,19.6222,31.5721,19.6222,0.000000,0.000000,0.000000,0.000000,0.000000,
1696,11,66,10,60,1,7,p,AM,16.45,1,14.2958,23.0019,14.2958,0.000000,0.000000,0.000000,0.000000,0.000000,
1697,11,67,10,61,1,7,p,AM,10.19,1,16.3226,26.2630,16.3226,0.000000,0.000000,0.000000,0.000000,0.000000,
1698,11,68,10,62,1,7,p,AM,46.97,1,11.9778,19.2722,11.9778,0.000000,0.000000,0.000000,0.000000,0.000000,
1699,11,69,10,63,1,7,p,AM,39.01,1,13.9428,22.4339,13.9428,0.000000,0.000000,0.000000,0.000000,0.000000,
1700,11,70,10,64,1,6,p,AM,18.73,1,13.8049,22.2122,13.8050,0.000000,0.000000,0.000000,0.000000,0.000000,
1701,11,71,10,65,1,6,p,AM,27.67,1,13.7661,22.1497,13.7661,0.000000,0.000000,0.000000,0.000000,0.000000,
1702,11,72,10,66,1,6,p,AM,68.43,1,11.9100,19.1632,11.9100,0.000000,0.000000,0.000000,0.000000,0.000000,
1703,11,73,10,67,1,6,p,AM,100.37,1,11.7522,18.9093,11.7522,0.000000,0.000000,0.000000,0.000000,0.000000,
1704,11,74,10,68,1,6,p,AM,10.15,1,15.6969,25.2564,15.6969,0.000000,0.000000,0.000000,0.000000,0.000000,
1705,11,75,10,69,1,6,p,AM,7.71,1,13.9965,22.5204,13.9965,0.000000,0.000000,0.000000,0.000000,0.000000,
1706,11,76,10,70,1,7,p,AM,91.94,1,10.7937,17.3671,10.7937,0.000000,0.000000,0.000000,0.000000,0.000000,
1707,11,77,10,71,1,7,p,AM,187.66,1,9.1188,14.6722,9.1188,0.000000,0.000000,0.000000,0.000000,0.000000,
1708,11,78,10,72,1,8,p,AM,424.06,1,6.1750,9.9356,6.1750,0.000000,0.000000,0.000000,0.000000,0.000000,
1709,11,79,10,73,1,8,p,AM,81.67,1,8.7631,14.0998,8.7631,0.000000,0.000000,0.000000,0.000000,0.000000,
1710,11,80,10,74,1,8,p,AM,552.23,1,8.8652,14.2642,8.8652,0.000000,0.000000,0.000000,0.000000,0.000000,
1711,11,81,10,75,1,7,p,AM,228.60,1,12.1694,19.5806,12.1695,0.000000,0.000000,0.000000,0.000000,0.000000,
1712,11,82,10,76,1,9,p,AM,186.71,1,8.4702,13.6286,8.4702,0.000000,0.000000,0.000000,0.000000,0.000000,
1713,11,83,10,77,1,15,p,AM,50.15,1,11.3431,18.2510,11.3431,0.000000,0.000000,0.000000,0.000000,0.000000,
1714,11,84,10,78,1,1,p,AM,566.28,1,3.4431,5.5400,3.4431,0.000000,0.000000,0.000000,0.000000,0.000000,
1715,11,85,10,79,1,9,p,AM,663.41,1,5.3592,8.6230,5.3592,0.000000,0.000000,0.000000,0.000000,0.000000,
1716,11,86,10,80,1,9,p,AM,53.96,1,12.4327,20.0042,12.4327,0.000000,0.000000,0.000000,0.000000,0.000000,
1717,11,87,10,81,1,9,p,AM,27.22,1,15.3632,24.7194,15.3632,0.000000,0.000000,0.000000,0.000000,0.000000,
1718,11,88,10,82,1,9,p,AM,17.61,1,12.9797,20.8843,12.9797,0.000000,0.000000,0.000000,0.000000,0.000000,
1719,11,89,10,83,1,10,p,AM,7.97,1,15.9102,25.5996,15.9102,0.000000,0.000000,0.000000,0.000000,0.000000,
1720,11,90,10,84,1,9,p,AM,49.40,1,7.5586,12.1618,7.5586,0.000000,0.000000,0.000000,0.000000,0.000000,
1721,11,91,10,85,1,9,p,AM,38.03,1,11.3494,18.2612,11.3494,0.000000,0.000000,0.000000,0.000000,0.000000,
1722,11,92,10,86,1,17,p,AM,0.82,1,24.3193,39.1297,24.3192,0.000000,0.000000,0.000000,0.000000,0.000000,
1723,11,93,10,87,1,10,p,AM,8.68,1,16.1661,26.0113,16.1661,0.000000,0.000000,0.000000,0.000000,0.000000,
1724,11,94,10,88,1,10,p,AM,0.70,1,18.8408,30.3148,18.8408,0.000000,0.000000,0.000000,0.000000,0.000000,
1725,11,95,10,89,1,10,p,AM,2.12,1,19.2167,30.9197,19.2167,0.000000,0.000000,0.000000,0.000000,0.000000,
1726,11,96,10,90,1,10,p,AM,0.45,1,21.7713,35.0301,21.7713,0.000000,0.000000,0.000000,0.000000,0.000000,
1727,11,97,10,91,1,11,p,AM,7.33,1,16.3323,26.2786,16.3323,0.000000,0.000000,0.000000,0.000000,0.000000,
1728,11,98,10,92,1,11,p,AM,14.11,1,14.2190,22.8784,14.2190,0.000000,0.000000,0.000000,0.000000,0.000000,
1729,11,99,10,93,1,11,p,AM,2.34,1,21.2668,34.2182,21.2668,0.000000,0.000000,0.000000,0.000000,0.000000,
1730,11,100,10,94,1,11,p,AM,3.78,1,17.2086,27.6887,17.2086,0.000000,0.000000,0.000000,0.000000,0.000000,
1731,11,101,10,95,1,11,p,AM,2.67,1,21.6657,34.8602,21.6657,0.000000,0.000000,0.000000,0.000000,0.000000,
1732,11,102,10,96,1,12,p,AM,0.86,1,22.2063,35.7300,22.2063,0.000000,0.000000,0.000000,0.000000,0.000000,
1733,11,103,10,97,1,12,p,AM,0.66,1,24.8238,39.9414,24.8238,0.000000,0.000000,0.000000,0.000000,0.000000,
1734,11,104,10,98,1,12,p,AM,0.39,1,25.1401,40.4503,25.1400,0.000000,0.000000,0.000000,0.000000,0.000000,
1735,11,106,10,99,1,11,p,AM,0.51,1,23.6489,38.0511,23.6489,0.000000,0.000000,0.000000,0.000000,0.000000,
1736,11,107,10,100,1,11,p,AM,1.87,1,20.1392,32.4039,20.1392,0.000000,0.000000,0.000000,0.000000,0.000000,
1737,11,108,10,101,1,11,p,AM,0.29,1,27.0992,43.6026,27.0992,0.000000,0.000000,0.000000,0.000000,0.000000,
1738,11,109,10,102,1,11,p,AM,0.44,1,23.2525,37.4133,23.2525,0.000000,0.000000,0.000000,0.000000,0.000000,
1739,11,110,10,103,1,13,p,AM,2.40,1,25.1287,40.4321,25.1287,0.000000,0.000000,0.000000,0.000000,0.000000,
1740,11,111,10,104,1,11,p,AM,2.66,1,26.0458,41.9077,26.0458,0.000000,0.000000,0.000000,0.000000,0.000000,
1741,11,112,10,105,1,13,p,AM,0.29,1,28.1793,45.3405,28.1793,0.000000,0.000000,0.000000,0.000000,0.000000,
1742,11,113,10,106,1,13,p,AM,0.41,1,33.3399,53.6438,33.3399,0.000000,0.000000,0.000000,0.000000,0.000000,
1743,11,114,10,107,1,13,p,AM,1.09,1,29.1274,46.8660,29.1274,0.000000,0.000000,0.000000,0.000000,0.000000,
1744,11,115,10,108,1,13,p,AM,1.20,1,33.8740,54.5033,33.8740,0.000000,0.000000,0.000000,0.000000,0.000000,
1745,11,116,10,109,1,14,p,AM,0.10,1,38.3314,61.6752,38.3314,0.000000,0.000000,0.000000,0.000000,0.000000,
1746,11,118,10,110,1,14,p,AM,1.11,1,41.4392,66.6757,41.4392,0.000000,0.000000,0.000000,0.000000,0.000000,
1747,11,121,10,111,1,14,p,AM,0.14,1,34.4020,55.3529,34.4020,0.000000,0.000000,0.000000,0.000000,0.000000,
1748,11,123,10,112,1,14,p,AM,0.10,1,37.3307,60.0650,37.3307,0.000000,0.000000,0.000000,0.000000,0.000000,
1749,11,125,10,113,1,5,p,AM,0.27,1,26.1338,42.0493,26.1338,0.000000,0.000000,0.000000,0.000000,0.000000,
1750,11,127,10,114,1,15,p,AM,0.39,1,23.9109,38.4726,23.9109,0.000000,0.000000,0.000000,0.000000,0.000000,
1751,11,129,10,115,1,5,p,AM,6.23,1,20.3965,32.8179,20.3964,0.000000,0.000000,0.000000,0.000000,0.000000,
1752,11,130,10,116,1,5,p,AM,0.81,1,23.1442,37.2390,23.1442,0.000000,0.000000,0.000000,0.000000,0.000000,
1753,11,131,10,117,1,5,p,AM,6.99,1,18.1704,29.2362,18.1704,0.000000,0.000000,0.000000,0.000000,0.000000,
1754,11,132,10,118,1,15,p,AM,4.43,1,21.0432,33.8586,21.0432,0.000000,0.000000,0.000000,0.000000,0.000000,
1755,11,133,10,119,1,5,p,AM,27.63,1,15.0468,24.2103,15.0468,0.000000,0.000000,0.000000,0.000000,0.000000,
1756,11,134,10,120,1,5,p,AM,12.25,1,17.2428,27.7437,17.2428,0.000000,0.000000,0.000000,0.000000,0.000000,
1757,11,135,10,121,1,7,p,AM,48.72,1,11.9962,19.3019,11.9962,0.000000,0.000000,0.000000,0.000000,0.000000,
1758,11,136,10,122,1,15,p,AM,29.50,1,15.1453,24.3687,15.1453,0.000000,0.000000,0.000000,0.000000,0.000000,
1759,11,137,10,123,1,16,p,AM,0.75,1,26.6942,42.9509,26.6942,0.000000,0.000000,0.000000,0.000000,0.000000,
1760,11,141,10,124,1,15,p,AM,6.90,1,20.8909,33.6135,20.8909,0.000000,0.000000,0.000000,0.000000,0.000000,
1761,11,142,10,125,1,15,p,AM,6.51,1,23.6996,38.1326,23.6996,0.000000,0.000000,0.000000,0.000000,0.000000,
1762,11,143,10,126,1,15,p,AM,5.00,1,24.0636,38.7183,24.0636,0.000000,0.000000,0.000000,0.000000,0.000000,
1763,11,144,10,127,1,16,p,AM,1.28,1,26.8755,43.2427,26.8755,0.000000,0.000000,0.000000,0.000000,0.000000,
1764,11,145,10,128,1,15,p,AM,62.34,1,14.8632,23.9149,14.8632,0.000000,0.000000,0.000000,0.000000,0.000000,
1765,11,146,10,129,1,15,p,AM,22.46,1,17.6143,28.3414,17.6143,0.000000,0.000000,0.000000,0.000000,0.000000,
1766,11,147,10,130,1,15,p,AM,108.20,1,14.5455,23.4037,14.5455,0.000000,0.000000,0.000000,0.000000,0.000000,
1767,11,148,10,131,1,15,p,AM,47.82,1,20.5429,33.0536,20.5429,0.000000,0.000000,0.000000,0.000000,0.000000,
1768,11,149,10,132,1,19,p,AM,2.50,1,26.7353,43.0172,26.7353,0.000000,0.000000,0.000000,0.000000,0.000000,
1769,11,153,10,133,1,16,p,AM,9.64,1,27.1752,43.7248,27.1752,0.000000,0.000000,0.000000,0.000000,0.000000,
1770,11,154,10,134,1,16,p,AM,7.17,1,23.7438,38.2039,23.7438,0.000000,0.000000,0.000000,0.000000,0.000000,
1771,11,155,10,135,1,16,p,AM,1.62,1,25.0026,40.2292,25.0026,0.000000,0.000000,0.000000,0.000000,0.000000,
1772,11,156,10,136,1,19,p,AM,0.97,1,27.8755,44.8516,27.8754,0.000000,0.000000,0.000000,0.000000,0.000000,
1773,11,157,10,137,1,15,p,AM,17.55,1,18.6482,30.0049,18.6481,0.000000,0.000000,0.000000,0.000000,0.000000,
1774,11,158,10,138,1,15,p,AM,9.16,1,19.1139,30.7542,19.1139,0.000000,0.000000,0.000000,0.000000,0.000000,
1775,11,159,10,139,1,17,p,AM,10.55,1,18.8382,30.3107,18.8382,0.000000,0.000000,0.000000,0.000000,0.000000,
1776,11,160,10,140,1,17,p,AM,4.06,1,21.7688,35.0260,21.7688,0.000000,0.000000,0.000000,0.000000,0.000000,
1777,11,161,10,141,1,17,p,AM,3.96,1,27.5614,44.3464,27.5614,0.000000,0.000000,0.000000,0.000000,0.000000,
1778,11,170,10,142,1,5,p,AM,0.21,1,33.8750,54.5049,33.8750,0.000000,0.000000,0.000000,0.000000,0.000000,
1779,11,190,10,143,1,19,p,AM,1.30,1,36.7229,59.0872,36.7229,0.000000,0.000000,0.000000,0.000000,0.000000,
1780,11,191,10,144,1,19,p,AM,0.25,1,47.6971,76.7447,47.6971,0.000000,0.000000,0.000000,0.000000,0.000000,
1781,11,210,10,145,1,18,p,AM,3.08,1,36.2307,58.2952,36.2307,0.000000,0.000000,0.000000,0.000000,0.000000,
1782,11,219,10,146,1,18,p,AM,0.13,1,33.8748,54.5046,33.8748,0.000000,0.000000,0.000000,0.000000,0.000000,
1783,11,220,10,147,1,18,p,AM,0.11,1,33.1588,53.3525,33.1588,0.000000,0.000000,0.000000,0.000000,0.000000,
1784,11,221,10,148,1,18,p,AM,1.19,1,30.0869,48.4099,30.0869,0.000000,0.000000,0.000000,0.000000,0.000000,
1785,11,229,10,149,1,18,p,AM,1.86,1,25.0896,40.3691,25.0896,0.000000,0.000000,0.000000,0.000000,0.000000,
1786,11,230,10,150,1,18,p,AM,0.31,1,28.1402,45.2775,28.1402,0.000000,0.000000,0.000000,0.000000,0.000000,
1787,11,231,10,151,1,18,p,AM,0.71,1,27.1361,43.6620,27.1361,0.000000,0.000000,0.000000,0.000000,0.000000,
1788,11,232,10,152,1,18,p,AM,2.81,1,23.6683,38.0822,23.6682,0.000000,0.000000,0.000000,0.000000,0.000000,
1789,11,233,10,153,1,18,p,AM,1.85,1,26.3455,42.3900,26.3455,0.000000,0.000000,0.000000,0.000000,0.000000,
1790,11,267,10,154,1,16,p,AM,1.19,1,32.1582,51.7426,32.1582,0.000000,0.000000,0.000000,0.000000,0.000000,
1791,11,268,10,155,1,19,p,AM,0.37,1,35.2137,56.6589,35.2137,0.000000,0.000000,0.000000,0.000000,0.000000,
1792,11,269,10,156,1,19,p,AM,0.48,1,28.7117,46.1971,28.7117,0.000000,0.000000,0.000000,0.000000,0.000000,
1793,11,279,10,157,1,12,p,AM,0.22,1,27.3533,44.0115,27.3533,0.000000,0.000000,0.000000,0.000000,0.000000,
1794,11,287,10,158,1,20,p,AM,0.18,1,37.4988,60.3356,37.4988,0.000000,0.000000,0.000000,0.000000,0.000000,
1795,11,288,10,159,1,20,p,AM,0.21,1,40.6721,65.4413,40.6721,0.000000,0.000000,0.000000,0.000000,0.000000,
1796,11,356,10,160,1,13,p,AM,4.70,1,30.1286,48.4770,30.1286,0.000000,0.000000,0.000000,0.000000,0.000000,
1797,11,357,10,161,1,21,p,AM,0.43,1,36.1105,58.1017,36.1105,0.000000,0.000000,0.000000,0.000000,0.000000,
1798,11,377,10,162,1,22,p,AM,7.00,1,60.5198,97.3764,60.5198,0.000000,0.000000,0.000000,0.000000,0.000000,
1799,11,379,10,163,1,5,p,AM,5.00,1,70.8819,114.0489,70.8819,0.000000,0.000000,0.000000,0.000000,0.000000,
1800,11,381,10,164,1,23,p,AM,13.00,1,72.0413,115.9145,72.0413,0.000000,0.000000,0.000000,0.000000,0.000000,
1801,11,382,10,165,1,23,p,AM,16.00,1,91.2961,146.8954,91.2961,0.000000,0.000000,0.000000,0.000000,0.000000,
1802,11,387,10,167,1,21,p,AM,4.00,1,44.0106,70.8130,44.0106,0.000000,0.000000,0.000000,0.000000,0.000000,
1803,12,1,11,0,2,6,p,AM,26.28,1,10.3976,16.7297,10.3976,0.000000,0.000000,0.000000,0.000000,0.000000,
1804,12,2,11,1,2,6,p,AM,47.44,1,9.0597,14.5771,9.0597,0.000000,0.000000,0.000000,0.000000,0.000000,
1805,12,3,11,2,2,2,p,AM,94.14,1,7.9060,12.7207,7.9060,0.000000,0.000000,0.000000,0.000000,0.000000,
1806,12,4,11,3,2,2,p,AM,140.14,1,6.3317,10.1878,6.3317,0.000000,0.000000,0.000000,0.000000,0.000000,
1807,12,5,11,4,2,2,p,AM,304.13,1,7.5950,12.2203,7.5950,0.000000,0.000000,0.000000,0.000000,0.000000,
1808,12,6,11,5,2,1,p,AM,75.45,1,9.5974,15.4422,9.5974,0.000000,0.000000,0.000000,0.000000,0.000000,
1809,12,7,11,6,2,1,p,AM,169.66,1,5.8741,9.4515,5.8741,0.000000,0.000000,0.000000,0.000000,0.000000,
1810,12,8,11,7,2,8,p,AM,53.86,1,10.8197,17.4089,10.8197,0.000000,0.000000,0.000000,0.000000,0.000000,
1811,12,9,11,8,2,8,p,AM,57.16,1,9.5246,15.3250,9.5246,0.000000,0.000000,0.000000,0.000000,0.000000,
1812,12,10,11,9,2,1,p,AM,219.54,1,6.4612,10.3960,6.4612,0.000000,0.000000,0.000000,0.000000,0.000000,
1813,12,11,11,10,2,1,p,AM,391.90,1,3.5916,5.7789,3.5916,0.000000,0.000000,0.000000,0.000000,0.000000,
1814,12,13,11,12,2,2,p,AM,442.08,1,4.8091,7.7379,4.8091,0.000000,0.000000,0.000000,0.000000,0.000000,
1815,12,14,11,13,2,2,p,AM,437.59,1,3.7123,5.9731,3.7123,0.000000,0.000000,0.000000,0.000000,0.000000,
1816,12,15,11,14,2,2,p,AM,398.49,1,4.0466,6.5109,4.0466,0.000000,0.000000,0.000000,0.000000,0.000000,
1817,12,16,11,15,2,3,p,AM,545.74,1,7.4434,11.9765,7.4434,0.000000,0.000000,0.000000,0.000000,0.000000,
1818,12,17,11,16,2,3,p,AM,601.82,1,6.9248,11.1420,6.9248,0.000000,0.000000,0.000000,0.000000,0.000000,
1819,12,18,11,17,2,3,p,AM,326.97,1,9.5274,15.3295,9.5274,0.000000,0.000000,0.000000,0.000000,0.000000,
1820,12,19,11,18,2,3,p,AM,64.74,1,11.0115,17.7176,11.0116,0.000000,0.000000,0.000000,0.000000,0.000000,
1821,12,20,11,19,2,3,p,AM,161.28,1,6.9476,11.1787,6.9476,0.000000,0.000000,0.000000,0.000000,0.000000,
1822,12,21,11,20,2,3,p,AM,74.66,1,8.9125,14.3402,8.9125,0.000000,0.000000,0.000000,0.000000,0.000000,
1823,12,22,11,21,2,3,p,AM,37.49,1,12.5475,20.1889,12.5475,0.000000,0.000000,0.000000,0.000000,0.000000,
1824,12,23,11,22,2,3,p,AM,132.50,1,17.6601,28.4151,17.6601,0.000000,0.000000,0.000000,0.000000,0.000000,
1825,12,24,11,23,2,9,p,AM,77.70,1,15.0195,24.1663,15.0195,0.000000,0.000000,0.000000,0.000000,0.000000,
1826,12,25,11,24,2,9,p,AM,41.97,1,11.5163,18.5298,11.5163,0.000000,0.000000,0.000000,0.000000,0.000000,
1827,12,26,11,25,2,9,p,AM,74.89,1,14.6051,23.4997,14.6051,0.000000,0.000000,0.000000,0.000000,0.000000,
1828,12,27,11,26,2,4,p,AM,29.38,1,17.2395,27.7383,17.2395,0.000000,0.000000,0.000000,0.000000,0.000000,
1829,12,28,11,27,2,4,p,AM,62.10,1,14.6053,23.4999,14.6053,0.000000,0.000000,0.000000,0.000000,0.000000,
1830,12,29,11,28,2,4,p,AM,43.91,1,20.7770,33.4302,20.7770,0.000000,0.000000,0.000000,0.000000,0.000000,
1831,12,30,11,29,2,11,p,AM,17.72,1,16.9849,27.3287,16.9849,0.000000,0.000000,0.000000,0.000000,0.000000,
1832,12,31,11,30,2,4,p,AM,11.47,1,20.1776,32.4658,20.1776,0.000000,0.000000,0.000000,0.000000,0.000000,
1833,12,32,11,31,2,11,p,AM,8.87,1,20.4275,32.8678,20.4275,0.000000,0.000000,0.000000,0.000000,0.000000,
1834,12,33,11,32,2,11,p,AM,4.92,1,23.9465,38.5299,23.9465,0.000000,0.000000,0.000000,0.000000,0.000000,
1835,12,34,11,33,2,4,p,AM,12.91,1,23.4781,37.7763,23.4781,0.000000,0.000000,0.000000,0.000000,0.000000,
1836,12,35,11,34,2,4,p,AM,12.97,1,23.4007,37.6518,23.4007,0.000000,0.000000,0.000000,0.000000,0.000000,
1837,12,36,11,35,2,4,p,AM,16.20,1,27.3652,44.0307,27.3652,0.000000,0.000000,0.000000,0.000000,0.000000,
1838,12,37,11,36,2,7,p,AM,17.67,1,15.8311,25.4722,15.8311,0.000000,0.000000,0.000000,0.000000,0.000000,
1839,12,39,11,37,2,5,p,AM,1.23,1,29.8438,48.0186,29.8437,0.000000,0.000000,0.000000,0.000000,0.000000,
1840,12,41,11,38,2,5,p,AM,9.58,1,26.9158,43.3074,26.9157,0.000000,0.000000,0.000000,0.000000,0.000000,
1841,12,42,11,39,2,5,p,AM,0.10,1,27.6306,44.4576,27.6306,0.000000,0.000000,0.000000,0.000000,0.000000,
1842,12,43,11,40,2,18,p,AM,5.75,1,23.7838,38.2681,23.7838,0.000000,0.000000,0.000000,0.000000,0.000000,
1843,12,44,11,41,2,5,p,AM,1.50,1,26.8954,43.2747,26.8954,0.000000,0.000000,0.000000,0.000000,0.000000,
1844,12,45,11,42,2,18,p,AM,2.18,1,20.9168,33.6551,20.9168,0.000000,0.000000,0.000000,0.000000,0.000000,
1845,12,46,11,43,2,5,p,AM,4.95,1,23.8448,38.3663,23.8448,0.000000,0.000000,0.000000,0.000000,0.000000,
1846,12,47,11,44,2,18,p,AM,6.79,1,20.3005,32.6635,20.3005,0.000000,0.000000,0.000000,0.000000,0.000000,
1847,12,48,11,45,2,18,p,AM,7.98,1,21.7913,35.0622,21.7913,0.000000,0.000000,0.000000,0.000000,0.000000,
1848,12,49,11,46,2,6,p,AM,8.80,1,17.3719,27.9513,17.3719,0.000000,0.000000,0.000000,0.000000,0.000000,
1849,12,50,11,47,2,18,p,AM,5.35,1,18.8633,30.3510,18.8633,0.000000,0.000000,0.000000,0.000000,0.000000,
1850,12,51,11,48,2,6,p,AM,0.80,1,18.5377,29.8271,18.5377,0.000000,0.000000,0.000000,0.000000,0.000000,
